iter	MAE
207	3212.002833
208	3211.210078
209	3211.22415
210	3211.303535
211	3211.349411
212	3211.411289
213	3210.903976
214	3211.009055
215	3210.701765
216	3210.480504
217	3210.412426
218	3210.178689
219	3209.793482
220	3209.981335
221	3209.880588
222	3209.748356
223	3209.913343
224	3209.047896
225	3209.151103
226	3208.831062
227	3208.470145
228	3207.876945
229	3207.824386
230	3207.067652
231	3207.315701
232	3206.86068
233	3206.585723
234	3206.11712
235	3206.054878
236	3206.311358
237	3205.895157
238	3205.248969
239	3205.206901
240	3204.72559
241	3204.233599
242	3203.768818
243	3204.301241
244	3203.729808
245	3203.272688
246	3202.990543
247	3202.986735
248	3202.368255
249	3202.416882
250	3202.06584
251	3201.351979
252	3201.249021
253	3200.770061
254	3199.580412
255	3198.574825
256	3198.552504
257	3198.385528
258	3198.481306
259	3198.341148
260	3198.420939
261	3198.314718
262	3197.375885
263	3197.369981
264	3196.771811
265	3196.649676
266	3195.895837
267	3196.043047
268	3196.088525
269	3195.806679
270	3195.71103
271	3195.329959
272	3194.783684
273	3194.370751
274	3193.014893
275	3192.403746
276	3191.146262
277	3190.840835
278	3189.756933
279	3189.8115
280	3189.424978
281	3188.606371
282	3188.063956
283	3187.872368
284	3187.942532
285	3186.998983
286	3187.14212
287	3186.890576
288	3186.73335
289	3186.519666
290	3186.464137
291	3185.707997
292	3185.649421
293	3184.246524
294	3183.518465
295	3182.807764
296	3181.879894
297	3180.589946
298	3179.934932
299	3179.382595
300	3179.064326
301	3178.601451
302	3178.237411
303	3177.493125
304	3176.95013
305	3176.981556
306	3176.58551
307	3176.314016
308	3175.945283
309	3175.210101
310	3174.850201
311	3174.574025
312	3173.917984
313	3173.58991
314	3173.273897
315	3172.520526
316	3171.958323
317	3171.581652
318	3170.715876
319	3170.282416
320	3169.573657
321	3168.738822
322	3167.766584
323	3167.455312
324	3166.718336
325	3165.951205
326	3165.911236
327	3165.141411
328	3164.835881
329	3164.437332
330	3163.598721
331	3162.693673
332	3162.136865
333	3162.036772
334	3161.264366
335	3160.601258
336	3160.558031
337	3160.052572
338	3159.785608
339	3159.169908
340	3158.473432
341	3158.23708
342	3157.511207
343	3156.912664
344	3156.454741
345	3156.465822
346	3155.83982
347	3155.319283
348	3154.738019
349	3154.455414
350	3153.669241
351	3153.193294
352	3152.745479
353	3151.837361
354	3150.323117
355	3149.931325
356	3148.906193
357	3148.159894
358	3147.308311
359	3146.405579
360	3145.275155
361	3144.736009
362	3144.195573
363	3143.182719
364	3142.89822
365	3142.396535
366	3141.569347
367	3140.494203
368	3140.477959
369	3139.78743
370	3139.050326
371	3138.253785
372	3138.138051
373	3137.519277
374	3137.311315
375	3136.808199
376	3136.269769
377	3136.064393
378	3135.597187
379	3135.134149
380	3134.898599
381	3134.492519
382	3134.083185
383	3133.618448
384	3132.867195
385	3131.905641
386	3131.242036
387	3130.894254
388	3130.553509
389	3130.083786
390	3129.501324
391	3128.564962
392	3128.383462
393	3128.23532
394	3127.742106
395	3126.565841
396	3126.044942
397	3125.326192
398	3124.350225
399	3123.69702
400	3123.757189
401	3122.513392
402	3122.199739
403	3120.871779
404	3120.802996
405	3120.624616
406	3120.183296
407	3119.678801
408	3119.53033
409	3118.724884
410	3118.213169
411	3117.637944
412	3116.473552
413	3115.885006
414	3115.388517
415	3114.998938
416	3114.712536
417	3114.28723
418	3113.755782
419	3113.153988
420	3112.90398
421	3112.68643
422	3112.470047
423	3111.810527
424	3111.060212
425	3110.425654
426	3109.490937
427	3109.235667
428	3109.011421
429	3108.644492
430	3108.141648
431	3107.820535
432	3106.978615
433	3106.762729
434	3106.078034
435	3105.800599
436	3104.825473
437	3104.335598
438	3103.717719
439	3103.432968
440	3102.929687
441	3102.135801
442	3101.253062
443	3100.016601
444	3098.907254
445	3098.38771
446	3097.424874
447	3097.038107
448	3096.72572
449	3096.608788
450	3096.304569
451	3096.138156
452	3095.878666
453	3095.361509
454	3094.776761
455	3093.576022
456	3092.880502
457	3092.288936
458	3091.391775
459	3090.800543
460	3090.113195
461	3089.52779
462	3088.864379
463	3088.413708
464	3087.955742
465	3087.752077
466	3086.538002
467	3085.87117
468	3085.567971
469	3084.999953
470	3084.559323
471	3083.580845
472	3083.062311
473	3082.799501
474	3082.581869
475	3082.217847
476	3081.736846
477	3081.368436
478	3081.324618
479	3080.993352
480	3080.68719
481	3080.209609
482	3079.563235
483	3078.42496
484	3078.020436
485	3077.758632
486	3077.262696
487	3076.88649
488	3076.488691
489	3076.345988
490	3075.051389
491	3074.792125
492	3074.619525
493	3074.516967
494	3074.026299
495	3073.651205
496	3072.913034
497	3072.644828
498	3071.526784
499	3070.972908
500	3070.341827
501	3069.807654
502	3069.184616
503	3068.58354
504	3068.085142
505	3067.586078
506	3067.298277
507	3066.591971
508	3066.515239
509	3064.734285
510	3063.679794
511	3063.600082
512	3062.655364
513	3062.387347
514	3061.624411
515	3061.037711
516	3060.137695
517	3059.784238
518	3058.821787
519	3058.518251
520	3057.6026
521	3056.678511
522	3056.206615
523	3055.401205
524	3054.897651
525	3053.579055
526	3053.057349
527	3052.87324
528	3052.345656
529	3052.002611
530	3051.503768
531	3051.159667
532	3050.587404
533	3050.200663
534	3049.988312
535	3049.2731
536	3048.443358
537	3048.260375
538	3047.448615
539	3046.975686
540	3046.604259
541	3045.792987
542	3045.581885
543	3044.39027
544	3044.174689
545	3043.564027
546	3043.065921
547	3042.338461
548	3042.184051
549	3041.335549
550	3040.948796
551	3040.705937
552	3039.868298
553	3039.20101
554	3038.910074
555	3038.025995
556	3037.451272
557	3037.201278
558	3036.688764
559	3035.87654
560	3034.390667
561	3034.180018
562	3033.597016
563	3033.187212
564	3032.550952
565	3032.308184
566	3031.888365
567	3031.263491
568	3030.756388
569	3030.060078
570	3029.887944
571	3028.975554
572	3028.609999
573	3028.239512
574	3027.727788
575	3027.444321
576	3026.694782
577	3026.706013
578	3026.463586
579	3025.849284
580	3025.248546
581	3024.963519
582	3024.707151
583	3024.077907
584	3023.249058
585	3023.196731
586	3022.763613
587	3022.249512
588	3021.363647
589	3020.866567
590	3020.619924
591	3019.80825
592	3018.818539
593	3017.690319
594	3017.640763
595	3017.341908
596	3016.868531
597	3016.468247
598	3016.009302
599	3014.653308
600	3014.323267
601	3013.880705
602	3013.47401
603	3013.191209
604	3012.572751
605	3012.108953
606	3011.456061
607	3010.712065
608	3010.384074
609	3010.182955
610	3008.987432
611	3008.202998
612	3007.766851
613	3007.351559
614	3006.367938
615	3005.700482
616	3005.110644
617	3004.872431
618	3004.698377
619	3003.561017
620	3002.715503
621	3001.695945
622	3001.431724
623	3000.737584
624	3000.441109
625	3000.094041
626	2998.991267
627	2998.560496
628	2997.457922
629	2997.147097
630	2995.658508
631	2995.3849
632	2994.334933
633	2993.811479
634	2993.462319
635	2992.216727
