iter	Passed	Remaining
406	6406	25073
407	6418	25043
408	6436	25036
409	6449	25011
410	6466	24999
411	6481	24981
412	6494	24955
413	6509	24939
414	6526	24925
415	6538	24895
416	6555	24884
417	6570	24866
418	6584	24844
419	6598	24823
420	6612	24802
421	6626	24778
422	6641	24760
423	6654	24735
424	6671	24724
425	6685	24702
426	6701	24687
427	6717	24670
428	6731	24649
429	6745	24630
430	6760	24609
431	6776	24597
432	6788	24568
433	6804	24553
434	6815	24518
435	6831	24504
436	6844	24480
437	6861	24471
438	6877	24455
439	6892	24436
440	6910	24427
441	6923	24404
442	6939	24388
443	6954	24370
444	6966	24342
445	6982	24328
446	6997	24312
447	7010	24287
448	7027	24274
449	7043	24260
450	7059	24247
451	7075	24232
452	7092	24222
453	7106	24198
454	7124	24191
455	7142	24184
456	7156	24161
457	7171	24146
458	7186	24128
459	7205	24121
460	7216	24091
461	7234	24083
462	7251	24073
463	7262	24040
464	7277	24022
465	7293	24010
466	7306	23986
467	7323	23973
468	7335	23946
469	7352	23935
470	7366	23912
471	7380	23893
472	7397	23881
473	7410	23857
474	7424	23837
475	7438	23816
476	7452	23795
477	7465	23771
478	7480	23752
479	7497	23742
480	7513	23727
481	7527	23708
482	7544	23694
483	7557	23672
484	7570	23647
485	7583	23625
486	7599	23610
487	7616	23599
488	7631	23580
489	7647	23565
490	7665	23557
491	7677	23531
492	7694	23519
493	7709	23503
494	7720	23474
495	7737	23462
496	7748	23432
497	7762	23412
498	7774	23386
499	7788	23366
500	7804	23351
501	7816	23325
502	7831	23306
503	7846	23290
504	7859	23266
505	7872	23245
506	7889	23233
507	7900	23205
508	7917	23191
509	7932	23176
510	7945	23151
511	7959	23130
512	7971	23106
513	7981	23075
514	7996	23057
515	8009	23036
516	8025	23021
517	8039	23000
518	8054	22984
519	8068	22964
520	8082	22945
521	8097	22926
522	8111	22908
523	8130	22903
524	8144	22882
525	8160	22867
526	8176	22853
527	8188	22829
528	8203	22812
529	8218	22794
530	8235	22784
531	8249	22764
532	8264	22746
533	8280	22733
534	8292	22708
535	8307	22689
536	8324	22678
537	8336	22653
538	8351	22637
539	8365	22618
540	8382	22606
541	8397	22589
542	8414	22579
543	8427	22555
544	8441	22537
545	8459	22528
546	8473	22508
547	8487	22487
548	8498	22461
549	8514	22447
550	8527	22424
551	8542	22409
552	8559	22395
553	8570	22370
554	8587	22357
555	8604	22346
556	8618	22328
557	8640	22329
558	8652	22304
559	8669	22293
560	8683	22274
561	8699	22259
562	8717	22251
563	8730	22229
564	8749	22221
565	8765	22209
566	8782	22197
567	8800	22188
568	8815	22169
569	8832	22157
570	8845	22137
571	8862	22124
572	8878	22110
573	8891	22090
574	8906	22072
575	8923	22061
576	8939	22047
577	8958	22038
578	8975	22028
579	8995	22023
580	9009	22003
581	9025	21990
582	9042	21977
583	9056	21957
584	9071	21943
585	9088	21929
586	9104	21915
587	9119	21899
588	9134	21882
589	9149	21865
590	9160	21838
591	9174	21821
592	9189	21802
593	9205	21790
594	9220	21773
595	9237	21761
596	9251	21740
597	9269	21731
598	9282	21710
599	9299	21698
600	9312	21676
601	9325	21656
602	9336	21630
603	9353	21618
604	9365	21595
605	9383	21584
606	9398	21568
607	9414	21554
608	9427	21532
609	9444	21520
610	9459	21504
611	9473	21485
612	9489	21470
613	9504	21455
614	9518	21435
615	9530	21413
616	9547	21400
617	9559	21377
618	9576	21365
619	9588	21342
620	9605	21329
621	9616	21305
622	9632	21290
623	9643	21266
624	9661	21255
625	9673	21232
626	9689	21217
627	9700	21191
628	9714	21173
629	9728	21156
630	9747	21148
631	9765	21138
632	9779	21118
633	9793	21101
634	9809	21086
635	9827	21076
